,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
10776,487,LIM1023,PoweredZ654BJZPRPNXC,,,,36.158251,-86.784071,160.9760538541759
10777,4418,LIM1116,PoweredJYV56EVQZ53CI,36.166482,-86.782367,141.05669988036016,,,
10780,4188,LIM1287,PoweredMQP2J6O3XWRMS,36.161678,-86.774162,126.1978577856969,,,
10781,4596,LIM1342,Powered5QMOWEM4MBX5Q,,,,36.15728,-86.784253,190.80044881514885
10782,4188,LIM1373,PoweredMQP2J6O3XWRMS,,,,36.161766,-86.77411,103.20632773595987
10783,4596,LIM3134,PoweredIHGSNSRXCZ2ZG,36.157786,-86.784007,193.9818044189366,,,
10784,4422,LIM1566,PoweredZVTEPTDZIUK5L,36.166179,-86.780577,226.36541538701084,,,
10785,4188,LIM1587,PoweredFBJN22M5UTB6W,36.161251,-86.773481,218.07795900688902,,,
10786,4249,LIM1703,PoweredFIJZBROEH4CID,36.149609,-86.800642,56.14616675074227,,,
10787,4188,LIM1716,PoweredDQH3R45CUARGY,36.16219,-86.774029,161.64519618730066,,,
10788,125,LIM1774,PoweredXTNMEBOS5T2ZK,36.144397,-86.799638,74.67141081294825,,,
10789,4592,LIM1787,PoweredDJSFUDXDMQPEI,36.138241,-86.800774,173.78254191074782,,,
10791,120,LIM1958,PoweredPMIPMOZTFOM6D,,,,36.13795,-86.8008,162.8208409986747
10792,120,LIM1956,PoweredJZGUIE7QZVT7M,,,,36.13782,-86.8007,202.91141690283928
10793,4188,LIM1998,PoweredDQH3R45CUARGY,,,,36.16224,-86.7741,188.0081985340295
10794,120,LIM2152,Powered276XA7F25HW6H,36.137787,-86.800734,216.19409005502402,,,
10795,4592,LIM2163,PoweredDJSFUDXDMQPEI,,,,36.138263,-86.8007,161.908544417163
10797,4188,LIM2184,PoweredUQNX3LCA5ZLRN,36.162231,-86.773914,162.53276807735543,,,
10798,4592,LIM2228,Powered276XA7F25HW6H,36.138602,-86.800533,47.22974315297345,,,
10800,125,LIM2234,PoweredXTNMEBOS5T2ZK,,,,36.144373,-86.799744,44.89495560337517
10801,4188,LIM2262,PoweredXRVNRHYGRT37Y,36.162031,-86.774039,116.43500185867674,,,
10802,4188,LIM2264,PoweredWVIAXNCVDNOXP,36.162072,-86.774075,134.59415690721255,,,
10803,4188,LIM2341,PoweredXRVNRHYGRT37Y,,,,36.162008,-86.774181,144.2113562862864
10804,4188,LIM2352,PoweredPDF7YGBAFG5W3,,,,36.162229,-86.774138,190.87482855581098
10805,4592,LIM2449,PoweredLJKJAMPTIQIOO,,,,36.138235,-86.800843,181.80111106144903
10807,4429,LIM2534,Powered7Y4FVJZZMJ4GQ,36.165769,-86.781896,179.25643984833914,,,
10808,4596,LIM2589,PoweredS42NPBYPM42HM,36.158172,-86.784224,216.94891078593858,,,
10810,487,LIM2599,PoweredJUPYKIC36OSG6,36.158487,-86.783378,65.94683634245874,,,
10811,4188,LIM2609,PoweredL5LCNHXZMYBYT,,,,36.162078,-86.774236,171.8704180532301
10812,487,LIM2607,PoweredYKXXFQ4PQSQH4,36.158464,-86.783361,64.75338029374387,,,
10813,4188,LIM2612,PoweredZ72S7KBKVZWU7,,,,36.162201,-86.774209,196.01978674425374
10814,4429,LIM1243,PoweredQKPRM3SQ3Q5NG,36.165638,-86.781741,229.54655295493666,,,
10815,4188,LIM2849,Powered4XUAMCULJHSSM,36.161779,-86.774053,85.9586477794756,,,
10816,4188,LIM2876,PoweredEYLLRXIWQFCLZ,36.162035,-86.774339,189.80400785795692,,,
10817,4188,LIM2874,PoweredEHKBV3KE3V3TA,36.162031,-86.774293,177.07834443267342,,,
10818,4188,LIM2968,PoweredTZG4LZCRMDM4N,36.162071,-86.774525,245.08003643707352,,,
10819,4188,LIM2953,PoweredEYLLRXIWQFCLZ,,,,36.162098,-86.774429,223.99283933268464
10820,4188,LIM2952,PoweredEHKBV3KE3V3TA,,,,36.16204,-86.774321,185.91299635760927
10821,4188,LIM2964,Powered4XUAMCULJHSSM,,,,36.161817,-86.774586,242.72690656061522
10822,4188,LIM2967,PoweredQDVYGLDL6ZQDU,36.162076,-86.774508,241.2417961252748,,,
10823,4188,LIM3003,PoweredQJQTTSIEJ7IHR,36.161205,-86.773696,219.29490666583163,,,
10824,4422,LIM3092,PoweredLXSEEWVTY4QKI,36.166158,-86.780644,214.13175612569972,,,
10825,4596,LIM3127,PoweredXX36SEXFTINN6,36.158146,-86.784219,210.21382109791145,,,
10827,4616,LIM3209,PoweredDQH3R45CUARGY,,,,36.169049,-86.786921,193.73528459479695
10828,4596,LIM3338,PoweredJ2ZEW3VRV34OK,36.158151,-86.784216,212.2007606890519,,,
10830,487,LIM3352,PoweredYKXXFQ4PQSQH4,,,,36.158544,-86.783042,161.67423096664106
10831,4596,LIM3367,PoweredIHGSNSRXCZ2ZG,,,,36.158082,-86.784071,223.72171548226206
10833,487,LIM3406,PoweredJUPYKIC36OSG6,,,,36.158429,-86.783262,86.279850518957
10834,4188,LIM3422,PoweredQJQTTSIEJ7IHR,,,,36.161273,-86.773692,194.6969006136576
